symbol;name;start;end;period;id
ANTM;Anthem Inc (ANTM) Prices and Trading Volume;2001-10-30;2018-03-27;daily;15609166
ANV;Allied Nevada Gold (ANV) Prices and Trading Volume;2007-05-10;2015-03-09;daily;10981258
AOL;AOL Inc. (AOL) Prices and Trading Volume;2009-11-24;2015-06-22;daily;10987163
AON;Aon Plc (AON) Prices and Trading Volume;1984-09-07;2018-03-27;daily;9775552
AOS;Smith (A.O.) Corp (AOS) Prices and Trading Volume;1984-09-07;2018-03-27;daily;11119058
AOSL;Alpha and Omega Semiconductor Limited (AOSL) Prices and Trading Volume;2010-04-29;2018-03-27;daily;10981531
AP;Ampco-Pittsburgh Corp. (AP) Prices and Trading Volume;1984-07-19;2018-03-27;daily;10985420
APA;Apache Corp. (APA) Prices and Trading Volume;1979-05-15;2018-03-27;daily;9775553
APAM;Artisan Partners Asset Management Inc (APAM) Prices and Trading Volume;2013-03-07;2018-03-27;daily;10989679
APC;Anadarko Petroleum Corp (APC) Prices and Trading Volume;1986-09-09;2018-03-27;daily;9775554
APD;Air Products & Chemicals Inc. (APD) Prices and Trading Volume;1983-04-06;2018-03-27;daily;9775555
APEI;American Public Education Inc. (APEI) Prices and Trading Volume;2007-11-09;2018-03-27;daily;10984176
APH;Amphenol Corp. (APH) Prices and Trading Volume;1991-11-08;2018-03-27;daily;9775556
APL;Atlas Pipeline Partners L.P. (APL) Prices and Trading Volume;2000-01-28;2015-02-27;daily;13963325
APOG;Apogee Enterprises Inc. (APOG) Prices and Trading Volume;1973-05-03;2018-03-27;daily;10987353
APOL;Apollo Group Inc. (APOL) Prices and Trading Volume;1995-01-04;2017-02-01;daily;10987363
APP;American Apparel Inc (APP) Prices and Trading Volume;2006-03-07;2015-10-05;daily;10983110
APTV;Aptiv PLC Ordinary Shares (APTV);2017-12-08;2018-03-27;daily;40859222
ARAY;Accuray Incorporated (ARAY) Prices and Trading Volume;2007-02-08;2018-03-27;daily;10974236
ARC;ARC Document Solutions (ARC) Prices and Trading Volume;2005-02-04;2018-03-27;daily;10988133
ARCB;ArcBest Corp (ARCB) Prices and Trading Volume;1992-05-13;2018-03-27;daily;13693062
ARCC;Ares Capital Corp (ARCC) Prices and Trading Volume;2004-10-05;2018-03-27;daily;10988543
ARCW;ARC Group Worldwide Inc (ARCW) Prices and Trading Volume;1999-06-14;2018-03-27;daily;10988161
